[2026-03-23T18:39:33.977Z] GET https://wortheyflow-production.up.railway.app/ → pending (?ms, ?B)
[2026-03-23T18:39:34.664Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (196ms, 15042B)
[2026-03-23T18:39:34.664Z] GET https://unpkg.com/leaflet@1.9.4/dist/leaflet.css → 200 (135ms, 14806B)
[2026-03-23T18:39:34.665Z] GET https://wortheyflow-production.up.railway.app/style.css → 200 (296ms, ?B)
[2026-03-23T18:39:34.665Z] GET https://wortheyflow-production.up.railway.app/logo.png → pending (?ms, ?B)
[2026-03-23T18:39:34.665Z] GET https://cdn.jsdelivr.net/npm/chart.js@4.4.1/dist/chart.umd.min.js → 200 (194ms, 205399B)
[2026-03-23T18:39:34.665Z] GET https://cdn.jsdelivr.net/npm/sortablejs@1.15.0/Sortable.min.js → 200 (196ms, 44136B)
[2026-03-23T18:39:34.665Z] GET https://unpkg.com/leaflet@1.9.4/dist/leaflet.js → 200 (155ms, 147552B)
[2026-03-23T18:39:34.665Z] GET https://wortheyflow-production.up.railway.app/leads-data.js → pending (?ms, ?B)
[2026-03-23T18:39:34.665Z] GET https://wortheyflow-production.up.railway.app/app.js → pending (?ms, ?B)
[2026-03-23T18:39:35.277Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (241ms, 48432B)
[2026-03-23T18:39:45.923Z] POST https://wortheyflow-production.up.railway.app/api/auth/login → pending (?ms, ?B)
[2026-03-23T18:41:21.128Z] GET https://wortheyflow-production.up.railway.app/ → pending (?ms, ?B)
[2026-03-23T18:41:21.841Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (60ms, 15042B)
[2026-03-23T18:41:21.842Z] GET https://unpkg.com/leaflet@1.9.4/dist/leaflet.css → 200 (8ms, 14806B)
[2026-03-23T18:41:21.842Z] GET https://wortheyflow-production.up.railway.app/style.css → 200 (2ms, 29221B)
[2026-03-23T18:41:21.842Z] GET https://wortheyflow-production.up.railway.app/logo.png → 200 (3ms, 47901B)
[2026-03-23T18:41:21.842Z] GET https://cdn.jsdelivr.net/npm/chart.js@4.4.1/dist/chart.umd.min.js → 200 (12ms, 205399B)
[2026-03-23T18:41:21.842Z] GET https://cdn.jsdelivr.net/npm/sortablejs@1.15.0/Sortable.min.js → 200 (8ms, 44136B)
[2026-03-23T18:41:21.842Z] GET https://unpkg.com/leaflet@1.9.4/dist/leaflet.js → 200 (8ms, 147552B)
[2026-03-23T18:41:21.842Z] GET https://wortheyflow-production.up.railway.app/leads-data.js → 200 (290ms, 146487B)
[2026-03-23T18:41:21.843Z] GET https://wortheyflow-production.up.railway.app/app.js → 200 (2ms, 159027B)
[2026-03-23T18:41:21.913Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, 48432B)
