Business Name,Phone,Website,Address,Rating,Reviews,Category,Google Maps URL,Threat Level
Bass Pro Shops,(669) 234-5700,https://stores.basspro.com/us/ca/san-jose/5160-cherry-ave.html?y_source=1_MzAxMTU2Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"5160 Cherry Ave, San Jose, CA 95118",4.4,4512,Sporting goods store,https://www.google.com/maps/search/?api=1&query=Bass%20Pro%20Shops&query_place_id=ChIJf_WbFMMzjoARxAL8EZu5I48,Medium
Cabela's,(775) 829-4100,https://stores.cabelas.com/us/nv/verdi/8650-boomtown-garson-road.html?y_source=1_Mzk4NjcyNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"8650 Boomtown Garson Road, Verdi, NV 89439",4.5,4002,Sporting goods store,https://www.google.com/maps/search/?api=1&query=Cabela's&query_place_id=ChIJlyhS79BEmYAR44sq2i4iXD4,High
Walmart Supercenter,(601) 939-0281,https://www.walmart.com/store/365-pearl-ms/?veh=seo_loc,"5520 US-80, Pearl, MS 39208",3.9,3998,Sporting goods store,https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJAfqfccgrKIYRjPsB1HtV0is,Low
San Pedro Springs Park,(210) 207-8480,http://www.sanantonio.gov/ParksAndRec/ParksFacilities/AllParksFacilities/ParksFacilitiesDetails/TabId/3354/ArtMID/14820/ArticleID/2504/San-Pedro-Springs-Park.aspx?Park=216,"2200 N Flores St, San Antonio, TX 78212",4.4,3924,City park,https://www.google.com/maps/search/?api=1&query=San%20Pedro%20Springs%20Park&query_place_id=ChIJSSe2PglgXIYRXvYyR9ekEwo,Medium
Blue World Pools,(800) 706-0907,https://blueworldpools.com/,"120 Interstate N Pkwy E SE #426, Atlanta, GA 30339",3.3,3631,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Blue%20World%20Pools&query_place_id=ChIJqepYTLER9YgRzsiGx7cjtwc,Low
Crowne Plaza Atlanta Perimeter at Ravinia by IHG,(770) 395-7700,https://www.ihg.com/crowneplaza/hotels/us/en/atlanta/atlcp/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-US-_-ATLCP,"4355 Ashford Dunwoody Rd, Atlanta, GA 30346",4.3,3434,Hotel,https://www.google.com/maps/search/?api=1&query=Crowne%20Plaza%20Atlanta%20Perimeter%20at%20Ravinia%20by%20IHG&query_place_id=ChIJDw1Yf0MJ9YgRBtDrHfEC7i4,Medium
Lucky Strike Kennesaw,(770) 427-7679,https://www.luckystrikeent.com/location/lucky-strike-kennesaw?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"775 Cobb Pl Blvd NW, Kennesaw, GA 30144",4.3,2855,Bowling alley,https://www.google.com/maps/search/?api=1&query=Lucky%20Strike%20Kennesaw&query_place_id=ChIJsdlnsB4V9YgR7S1iv6RdpWk,Medium
The Westin Hilton Head Island Resort & Spa,(843) 681-4000,https://www.marriott.com/en-us/hotels/hhhwi-the-westin-hilton-head-island-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"Two Grasslawn Ave, Hilton Head Island, SC 29928",4.2,2804,Hotel,https://www.google.com/maps/search/?api=1&query=The%20Westin%20Hilton%20Head%20Island%20Resort%20%26%20Spa&query_place_id=ChIJLUkGRIlw_IgRtMcx4k5kpBo,Medium
Hilton Atlanta Northeast,(770) 447-4747,https://www.hilton.com/en/hotels/atlhphf-hilton-atlanta-northeast/?SEO_id=GMB-AMER-HH-ATLHPHF&y_source=1_MTIyMDkzNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"5993 Peachtree Industrial Blvd, Peachtree Corners, GA 30092",4.2,2401,Hotel,https://www.google.com/maps/search/?api=1&query=Hilton%20Atlanta%20Northeast&query_place_id=ChIJy4MlbOCg9YgR_xeb6Fc0E-U,Medium
Lucky Strike Rocklin,(916) 250-6250,https://www.luckystrikeent.com/location/lucky-strike-rocklin?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"5681 Lonetree Blvd, Rocklin, CA 95765",4.3,2250,Bowling alley,https://www.google.com/maps/search/?api=1&query=Lucky%20Strike%20Rocklin&query_place_id=ChIJBxynQLnImoARxmTCoGCBl-g,Medium
Hilton Knoxville Airport,(865) 970-4300,https://www.hilton.com/en/hotels/knxahhf-hilton-knoxville-airport/?SEO_id=GMB-AMER-HH-KNXAHHF&y_source=1_MTIyMDgyOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"2001 Alcoa Hwy, Alcoa, TN 37701",4.4,2044,Hotel,https://www.google.com/maps/search/?api=1&query=Hilton%20Knoxville%20Airport&query_place_id=ChIJ3S3nSOEgXIgR6vb4gftaNng,Medium
Holiday Inn Knoxville West- Cedar Bluff Rd,(865) 693-1011,https://www.ihg.com/holidayinn/hotels/us/en/knoxville/tyscb/hoteldetail,"9134 Executive Park Dr, Knoxville, TN 37923",4.2,2027,Hotel,https://www.google.com/maps/search/?api=1&query=Holiday%20Inn%20Knoxville%20West-%20Cedar%20Bluff%20Rd&query_place_id=ChIJr1gwIWYlXIgRjEUbiFtmbs8,Medium
Lucky Strike Fresno,(559) 431-3711,https://www.luckystrikeent.com/location/lucky-strike-fresno?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"6450 N Blackstone Ave, Fresno, CA 93710",4.2,1957,Bowling alley,https://www.google.com/maps/search/?api=1&query=Lucky%20Strike%20Fresno&query_place_id=ChIJVRSPbf9nlIAREvP9Vj_1uiQ,Medium
Bowlmor Cupertino,(408) 252-2695,https://www.bowlmor.com/location/bowlmor-cupertino/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"10123 N Wolfe Rd, Cupertino, CA 95014",4.1,1918,Bowling alley,https://www.google.com/maps/search/?api=1&query=Bowlmor%20Cupertino&query_place_id=ChIJdwOiUp-1j4ARtFJHJbUFDAg,Medium
Lucky Strike Vacaville,(707) 455-7827,https://www.luckystrikeent.com/location/lucky-strike-vacaville?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"155 Browns Valley Pkwy, Vacaville, CA 95688",4.1,1901,Bowling alley,https://www.google.com/maps/search/?api=1&query=Lucky%20Strike%20Vacaville&query_place_id=ChIJ9TVDLDU9hYAR8zwgBLt3dm4,Medium
Franklin Marriott Cool Springs,(615) 261-6100,https://www.marriott.com/en-us/hotels/bnacs-franklin-marriott-cool-springs/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"700 Cool Springs Blvd, Franklin, TN 37067",4.5,1866,Hotel,https://www.google.com/maps/search/?api=1&query=Franklin%20Marriott%20Cool%20Springs&query_place_id=ChIJE-k9ikR5ZIgRuzSi3qepR0Y,High
Sportsman's Warehouse,(559) 261-2900,https://stores.sportsmans.com/sportsmans-warehouse/us/ca/fresno/8468-n-friant-road?utm_source=google&utm_medium=organic&utm_campaign=GMB&y_source=1_OTg4MDIxNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"8468 N Friant Rd, Fresno, CA 93720",4.2,1861,Outdoor sports store,https://www.google.com/maps/search/?api=1&query=Sportsman's%20Warehouse&query_place_id=ChIJDY-nqZhClIAR7qAmW-dOmsY,Medium
Lucky Strike Milpitas,(408) 262-6950,https://www.luckystrikeent.com/location/lucky-strike-milpitas?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"1287 S Park Victoria Dr, Milpitas, CA 95035",4.2,1832,Bowling alley,https://www.google.com/maps/search/?api=1&query=Lucky%20Strike%20Milpitas&query_place_id=ChIJkSQmPpXOj4AR0QkvXzIZ4DI,Medium
Baird Foundation Repair,(210) 390-0755,https://www.bairdfoundationrepair.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"726 Hot Wells Blvd, San Antonio, TX 78223",4.9,1618,Contractor,https://www.google.com/maps/search/?api=1&query=Baird%20Foundation%20Repair&query_place_id=ChIJofcrGlP2XIYR9Lf_i0XZYzI,High
