Business Name,Phone,Website,Address,Rating,Reviews,Category,Google Maps URL,Threat Level
Keith Zars Pools San Antonio,(210) 494-0800,http://www.keithzarspools.com/,"17427 San Pedro Ave, San Antonio, TX 78232",4.6,1404,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Keith%20Zars%20Pools%20San%20Antonio&query_place_id=ChIJM8EFLhuKXIYRyPUmbYMGE-M,High
Denali Pools,(512) 522-4977,https://www.denalipools.com/,"4350 E Whitestone Blvd, Cedar Park, TX 78613",4.9,1086,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Denali%20Pools&query_place_id=ChIJSUgKkgLTRIYRnMD3Em2kuHY,High
Poolie - San Antonio (Formerly Fiesta),(210) 405-5990,https://poolie.com/cities/san-antonio/,"4738 Center Park Blvd, San Antonio, TX 78218",4.7,812,Swimming pool repair service,https://www.google.com/maps/search/?api=1&query=Poolie%20-%20San%20Antonio%20(Formerly%20Fiesta)&query_place_id=ChIJieovS3NhXIYRJOAPO9p8flY,High
Blue Haven Pools & Spas,(210) 680-0006,https://www.bluehaven.com/san-antonio-swimming-pool-builder/,"7575 N Loop 1604 W, San Antonio, TX 78249",4.6,747,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Blue%20Haven%20Pools%20%26%20Spas&query_place_id=ChIJz0EJeBNmXIYR0aSuAENeRdw,High
Gary Pools,(210) 791-7577,https://www.garypools.com/?utm_campaign=gmb,"6865 Camp Bullis Rd, San Antonio, TX 78256",4.6,723,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Gary%20Pools&query_place_id=ChIJY9Uq936KXIYRSnfbhXG3_kE,High
Blue Science,(210) 361-5006,https://www.bluescience.com/swimming-pool-service/san-antonio-tx/,"10855 I-35, San Antonio, TX 78233",4.6,298,Pool cleaning service,https://www.google.com/maps/search/?api=1&query=Blue%20Science&query_place_id=ChIJbcvQ6FNfXIYRkimUyDePSik,High
South Texas Pool Tile Cleaning,(210) 343-1207,https://www.southtexaspooltilecleaning.com/,"3623 E Evans Rd, San Antonio, TX 78259",4.8,269,Pool cleaning service,https://www.google.com/maps/search/?api=1&query=South%20Texas%20Pool%20Tile%20Cleaning&query_place_id=ChIJU8oYnb2JXIYRZrvoTlM00FI,High
"A-Tex Above Ground Pools, Spas, & Billiards",(210) 653-1566,http://www.atexpools.com/,"9323 Perrin Beitel Ste 108, San Antonio, TX 78217",4.7,243,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=A-Tex%20Above%20Ground%20Pools%2C%20Spas%2C%20%26%20Billiards&query_place_id=ChIJHYQHjEyLXIYRsGrNWa1yMMc,High
Gary's Pool and Patio,(830) 217-3439,https://www.garyspoolandpatio.com/,"13800 San Pedro Ave #2, San Antonio, TX 78232",4.7,208,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Gary's%20Pool%20and%20Patio&query_place_id=ChIJb9jQ8H6KXIYRcp8-1jqx-xo,High
CK Pools,(726) 888-6248,https://ckpools.com/,"13810 Lookout Rd, San Antonio, TX 78233",4.8,196,Pool cleaning service,https://www.google.com/maps/search/?api=1&query=CK%20Pools&query_place_id=ChIJ_d7am0iLXIYRUgPbbJOSmKQ,High
San Antonio Natatorium,(210) 207-3299,https://www.sanantonio.gov/ParksAndRec/Parks-Facilities/All-Parks-Facilities/Facility-Details/ArtMID/16234/ArticleID/2508/San-Antonio-Natatorium?Park=&Facility=46,"1430 W Cesar E. Chavez Blvd, San Antonio, TX 78207",4.5,195,Indoor swimming pool,https://www.google.com/maps/search/?api=1&query=San%20Antonio%20Natatorium&query_place_id=ChIJ1S8Mf0JZXIYRHx8ckihwdsM,High
Sunray Pool Service Co,(210) 637-0044,http://www.sunraypool.com/,"11919 Rail Dr Ste 2, San Antonio, TX 78233",4.3,181,Pool cleaning service,https://www.google.com/maps/search/?api=1&query=Sunray%20Pool%20Service%20Co&query_place_id=ChIJu7g5vaKMXIYRt-lGFLgeglo,Medium
Fossil Creek Pools,(830) 228-5060,https://fossilcreekpools.com/,"N, 12470 US-281, Spring Branch, TX 78070",4.9,180,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Fossil%20Creek%20Pools&query_place_id=ChIJg1e8NvzAXhQRpkXK-5OemJI,High
Cody Pools San Antonio North,(210) 249-9129,https://codypools.com/san-antonio-pool-builder,"2907 N Loop 1604 E Suite 308, San Antonio, TX 78232",4.6,170,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Cody%20Pools%20San%20Antonio%20North&query_place_id=ChIJrabRm5SJXIYRCGRb24L6M_U,High
AquaPools of San Antonio,(800) 432-8994,https://www.aquapools.com/fiberglass-swimming-pools-san-antonio,"3567 S I-35 South Frontage Rd, New Braunfels, TX 78132",4.9,166,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=AquaPools%20of%20San%20Antonio&query_place_id=ChIJ1zvDfvaWXIYRADFcurVFhFo,High
Baird Pools,(512) 312-4685,http://bairdpools.com/,"102 Rebel Dr, Buda, TX 78610",4.8,119,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Baird%20Pools&query_place_id=ChIJwZIS3etRW4YRc4g2FrcL3RU,High
Denali Pools San Antonio,(210) 942-8993,https://denalipools.com/denali-pools-san-antonio-texas/,"33010 US-281, Bulverde, TX 78163",5,117,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Denali%20Pools%20San%20Antonio&query_place_id=ChIJGY0-2cRjXIYRYOcciQTTUT0,High
Cowboy Pools Showroom,(512) 434-0622,http://cowboypools.com/,"4001 Warehouse Row, Austin, TX 78704",4.6,113,Outdoor swimming pool,https://www.google.com/maps/search/?api=1&query=Cowboy%20Pools%20Showroom&query_place_id=ChIJy1HA6-y1RIYRy1Hnt_yk4sA,High
Texas Pools and Patios,(210) 524-0177,https://www.texaspoolsandpatios.com/,"16264 San Pedro Ave, San Antonio, TX 78232",4.4,110,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Texas%20Pools%20and%20Patios&query_place_id=ChIJnWYfO6xhXIYRsfdNwPjas7w,Medium
Staycation Fiberglass Pools,(210) 997-7665,https://staycationfiberglasspools.com/?utm_source=gmb&utm_medium=organic,"7310 Caribou St, San Antonio, TX 78238",4.9,107,Swimming pool contractor,https://www.google.com/maps/search/?api=1&query=Staycation%20Fiberglass%20Pools&query_place_id=ChIJM4QOEixdXIYRj1SKzJNTSNQ,High
Jose's Pools,(210) 867-3131,http://www.josespools.com/,"2012 Cottonwood Way, San Antonio, TX 78253",4.7,105,Swimming pool repair service,https://www.google.com/maps/search/?api=1&query=Jose's%20Pools&query_place_id=ChIJd5zHVqxcXIYRSVVSPsW4Jzc,High
Paradise Decks & Spas,(210) 496-3325,http://www.paradisedecksandspas.com/,"10615 Perrin Beitel suite 604, San Antonio, TX 78217",4.1,105,Deck builder,https://www.google.com/maps/search/?api=1&query=Paradise%20Decks%20%26%20Spas&query_place_id=ChIJCbAZLg6MXIYRH8y38YvuV_4,Medium
