Business Name,Phone,Website,Email,Address,Rating,Reviews,Category,Lead Type,Google Maps URL
San Antonio River Walk,,https://www.thesanantonioriverwalk.com/,,"San Antonio, TX 78205",4.7,45518,Park,New Pool Construction,https://www.google.com/maps/search/?api=1&query=San%20Antonio%20River%20Walk&query_place_id=ChIJibxLNatYXIYRyCOuemjZxqI
"Homeaglow, Inc.",,https://www.homeaglow.com/locations/ca/san-francisco/,,,3.7,7231,House cleaning service,New Pool Construction,https://www.google.com/maps/search/?api=1&query=Homeaglow%2C%20Inc.&query_place_id=ChIJpYwfUH2AhYARSPnca5TRHjs
The Friendly Spot Ice House,(210) 224-2337,http://www.thefriendlyspot.com/,,"943 S Alamo St, San Antonio, TX 78205",4.4,2746,Bar & grill,New Pool Construction,https://www.google.com/maps/search/?api=1&query=The%20Friendly%20Spot%20Ice%20House&query_place_id=ChIJefiCRK9YXIYReYbNa5B-h2Y
Star Furniture - San Antonio,(210) 558-7800,http://www.starfurniture.com/,,"12350 I-10, San Antonio, TX 78230",4.7,2473,Furniture store,New Pool Construction,https://www.google.com/maps/search/?api=1&query=Star%20Furniture%20-%20San%20Antonio&query_place_id=ChIJI27AAd9mXIYRaoo5uI8PuS8
Summit Racing Equipment,(775) 352-8787,http://www.summitracing.com/,,"960 E Glendale Ave, Sparks, NV 89431",4.4,1912,Auto parts store,New Pool Construction,https://www.google.com/maps/search/?api=1&query=Summit%20Racing%20Equipment&query_place_id=ChIJP0pKOOk-mYARan0Ng90GoZM
La Tuna Icehouse,(210) 224-8862,http://latunasa.com/,,"100 Probandt St, San Antonio, TX 78204",4.6,1680,Bar,New Pool Construction,https://www.google.com/maps/search/?api=1&query=La%20Tuna%20Icehouse&query_place_id=ChIJPYqWp7xYXIYRWGsiTuL4UXE
Burleson Yard Beer Garden,(210) 354-3001,https://www.burlesonyardbeergarden.com/,,"430 Austin St, San Antonio, TX 78215",4.5,1600,Restaurant,New Pool Construction,https://www.google.com/maps/search/?api=1&query=Burleson%20Yard%20Beer%20Garden&query_place_id=ChIJ7aBn-vv1XIYRHr3YLPCzarg
Hops & Hounds,(210) 259-8221,http://hopsandhoundsllc.com/,,"1123 Avenue B, San Antonio, TX 78215",4.5,1398,Bar,New Pool Construction,https://www.google.com/maps/search/?api=1&query=Hops%20%26%20Hounds&query_place_id=ChIJ91QwGCyLXIYRVxAtitGqydc
Social Spot,(210) 263-9009,https://www.instagram.com/socialspotsatx/,,"930 Broadway, San Antonio, TX 78215",4.2,1148,Bar,New Pool Construction,https://www.google.com/maps/search/?api=1&query=Social%20Spot&query_place_id=ChIJFep0Dvn1XIYRqRt71u6ljZY
"Exquisite Properties, LLC",(210) 494-1695,http://www.exquisitesa.co/,,"1354 N Loop 1604 E Ste 110, San Antonio, TX 78232",5,750,Real estate agency,New Pool Construction,https://www.google.com/maps/search/?api=1&query=Exquisite%20Properties%2C%20LLC&query_place_id=ChIJ2Tsd0AJhXIYR2fdSQd1qSug
Yardzen,(888) 927-3936,https://yardzen.com/?utm_source=gmb&utm_medium=organic,,,4.6,699,Landscape designer,New Pool Construction,https://www.google.com/maps/search/?api=1&query=Yardzen&query_place_id=ChIJASSKdzuFhYARdoBnzs0yoFQ
El Clasificado,(323) 278-5310,https://elclasificado.com/,,"11205 Imperial Hwy., Norwalk, CA 90650",4.8,460,Advertising agency,New Pool Construction,https://www.google.com/maps/search/?api=1&query=El%20Clasificado&query_place_id=ChIJSfQuKLzSwoARUEe_sMUfeWk
Mt San Antonio,,,,California 91759,4.7,427,Mountain peak,New Pool Construction,https://www.google.com/maps/search/?api=1&query=Mt%20San%20Antonio&query_place_id=ChIJUT-T-Sg8w4ARUqVxizhPCJ0
